name,created_at,forks,topics,categories
pytorch-handbook,2018-12-03T02:57:04Z,5369,"['deep-learning', 'machine-learning', 'neural-network', 'pytorch', 'pytorch-handbook', 'pytorch-tutorials']",['Machine Learning']
Dive-into-DL-PyTorch,2019-02-21T03:45:20Z,5335,"['computer-vision', 'd2l', 'deep-learning', 'deep-learning-tutorial', 'natural-language-processing', 'pytorch', 'pytorch-tutorial']",['Machine Learning']
deep-learning-v2-pytorch,2018-09-04T17:53:50Z,5307,"['convolutional-networks', 'deep-learning', 'neural-network', 'pytorch', 'recurrent-networks', 'sentiment-analysis', 'style-transfer']",['Machine Learning']
docs,2018-04-12T22:23:12Z,5235,"['deep-learning', 'deep-neural-networks', 'documentation', 'machine-learning', 'tensorflow', 'tensorflow-examples', 'tensorflow-tutorials']",['Machine Learning']
ray,2016-10-25T19:38:30Z,5196,"['automl', 'data-science', 'deep-learning', 'deployment', 'distributed', 'hyperparameter-optimization', 'hyperparameter-search', 'java', 'llm-serving', 'machine-learning', 'model-selection', 'optimization', 'parallel', 'python', 'pytorch', 'ray', 'reinforcement-learning', 'rllib', 'serving', 'tensorflow']",['Machine Learning']
MockingBird,2021-08-07T03:53:39Z,5072,"['ai', 'deep-learning', 'pytorch', 'speech', 'text-to-speech', 'tts']",['Machine Learning']
Machine-Learning,2017-03-25T07:32:37Z,5025,"['adaboost', 'adaboost-algorithm', 'decision-tree', 'knn', 'logistic', 'machine-learning', 'navie-bayes-algorithm', 'python', 'python3', 'regression', 'smo', 'svm']",['Machine Learning']
gold-miner,2015-11-04T03:29:13Z,5008,"['ai', 'android', 'frontend', 'ios', 'javascript', 'react', 'swift', 'tensorflow', 'translation', 'tutorials']","['Machine Learning', 'Beginner', 'Web Programming']"
Reinforcement-learning-with-tensorflow,2017-05-06T03:01:31Z,4991,"['a3c', 'actor-critic', 'asynchronous-advantage-actor-critic', 'ddpg', 'deep-deterministic-policy-gradient', 'deep-q-network', 'double-dqn', 'dqn', 'dueling-dqn', 'machine-learning', 'policy-gradient', 'ppo', 'prioritized-replay', 'proximal-policy-optimization', 'q-learning', 'reinforcement-learning', 'sarsa', 'sarsa-lambda', 'tensorflow-tutorials', 'tutorial']","['Machine Learning', 'Beginner']"
mediapipe,2019-06-13T19:16:41Z,4948,"['android', 'audio-processing', 'c-plus-plus', 'calculator', 'computer-vision', 'deep-learning', 'framework', 'graph-based', 'graph-framework', 'inference', 'machine-learning', 'mediapipe', 'mobile-development', 'perception', 'pipeline-framework', 'stream-processing', 'video-processing']",['Machine Learning']
annotated_deep_learning_paper_implementations,2020-08-25T02:29:34Z,4905,"['attention', 'deep-learning', 'deep-learning-tutorial', 'gan', 'literate-programming', 'machine-learning', 'neural-networks', 'optimizers', 'pytorch', 'reinforcement-learning', 'transformer', 'transformers']",['Machine Learning']
AI-For-Beginners,2021-03-03T16:27:36Z,4894,"['ai', 'artificial-intelligence', 'cnn', 'computer-vision', 'deep-learning', 'gan', 'machine-learning', 'nlp', 'rnn']",['Machine Learning']
facenet,2016-02-12T22:14:40Z,4795,"['computer-vision', 'deep-learning', 'face-detection', 'face-recognition', 'facenet', 'mtcnn', 'tensorflow']",['Machine Learning']
pumpkin-book,2018-12-22T05:05:24Z,4689,"['book', 'machine-learning', 'pumpkin-book']",['Machine Learning']
Qix,2014-04-20T11:03:15Z,4673,"['awesome', 'deep-learning', 'distributed-computing', 'distributed-database', 'distributed-systems', 'go', 'machine-learning', 'postgresql']",['Machine Learning']
diffusers,2022-05-30T16:04:02Z,4562,"['deep-learning', 'diffusion', 'flax', 'hacktoberfest', 'image-generation', 'image2image', 'jax', 'latent-diffusion-models', 'pytorch', 'score-based-generative-modeling', 'stable-diffusion', 'stable-diffusion-diffusers', 'text2image']",['Machine Learning']
so-vits-svc,2023-03-10T09:31:09Z,4513,"['ai', 'audio-analysis', 'deep-learning', 'flow', 'generative-adversarial-network', 'pytorch', 'singing-voice-conversion', 'so-vits-svc', 'sovits', 'speech', 'variational-inference', 'vc', 'vits', 'voice', 'voice-changer', 'voice-conversion', 'voiceconversion']",['Machine Learning']
ML-From-Scratch,2017-02-05T12:11:23Z,4502,"['data-mining', 'data-science', 'deep-learning', 'deep-reinforcement-learning', 'genetic-algorithm', 'machine-learning', 'machine-learning-from-scratch']",['Machine Learning']
rasa,2016-10-14T12:27:49Z,4500,"['bot', 'bot-framework', 'botkit', 'bots', 'chatbot', 'chatbots', 'chatbots-framework', 'conversation-driven-development', 'conversational-agents', 'conversational-ai', 'conversational-bots', 'machine-learning', 'machine-learning-library', 'mitie', 'natural-language-processing', 'nlp', 'nlu', 'rasa', 'spacy', 'wit']",['Machine Learning']
500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,2021-01-02T12:08:37Z,4491,"['artificial-intelligence', 'artificial-intelligence-projects', 'awesome', 'computer-vision', 'computer-vision-project', 'data-science', 'deep-learning', 'deep-learning-project', 'machine-learning', 'machine-learning-projects', 'nlp', 'nlp-projects', 'python']",['Machine Learning']
awesome-deep-learning-papers,2016-06-03T06:48:30Z,4473,"['deep-learning', 'deep-neural-networks', 'machine-learning']",['Machine Learning']
ML-NLP,2019-07-05T12:49:53Z,4456,"['deep-learning', 'machine-learning', 'nlp']",['Machine Learning']
ChatterBot,2014-09-28T14:49:00Z,4409,"['bot', 'chatbot', 'chatterbot', 'conversation', 'language', 'machine-learning', 'python']",['Machine Learning']
python-machine-learning-book,2015-08-07T20:39:29Z,4397,"['data-mining', 'data-science', 'logistic-regression', 'machine-learning', 'machine-learning-algorithms', 'neural-network', 'python', 'scikit-learn']",['Machine Learning']
ultralytics,2022-09-11T16:39:45Z,4370,"['deep-learning', 'hub', 'image-classification', 'instance-segmentation', 'machine-learning', 'obb', 'object-detection', 'pose', 'pytorch', 'tracking', 'ultralytics', 'yolo', 'yolo-world', 'yolov3', 'yolov5', 'yolov8']",['Machine Learning']
gensim,2011-02-10T07:43:04Z,4352,"['data-mining', 'data-science', 'document-similarity', 'fasttext', 'gensim', 'information-retrieval', 'machine-learning', 'natural-language-processing', 'neural-network', 'nlp', 'python', 'topic-modeling', 'word-embeddings', 'word-similarity', 'word2vec']",['Machine Learning']
stanford-tensorflow-tutorials,2016-11-05T18:21:51Z,4332,"['chatbot', 'course-materials', 'deep-learning', 'machine-learning', 'natural-language-processing', 'nlp', 'python', 'stanford', 'tensorflow', 'tutorial']","['Machine Learning', 'Beginner']"
CNTK,2015-11-26T09:52:06Z,4300,"['c-plus-plus', 'c-sharp', 'cntk', 'cognitive-toolkit', 'deep-learning', 'deep-neural-networks', 'distributed', 'java', 'machine-learning', 'neural-network', 'python']",['Machine Learning']
spaCy,2014-07-03T15:15:40Z,4266,"['ai', 'artificial-intelligence', 'cython', 'data-science', 'deep-learning', 'entity-linking', 'machine-learning', 'named-entity-recognition', 'natural-language-processing', 'neural-network', 'neural-networks', 'nlp', 'nlp-library', 'python', 'spacy', 'text-classification', 'tokenization']",['Machine Learning']
ColossalAI,2021-10-28T16:19:44Z,4227,"['ai', 'big-model', 'data-parallelism', 'deep-learning', 'distributed-computing', 'foundation-models', 'heterogeneous-training', 'hpc', 'inference', 'large-scale', 'model-parallelism', 'pipeline-parallelism']",['Machine Learning']
